exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,LED_395nm_setpoint,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
0.19,1.480577299412916,0.0,65000.0,28.0,0.0,24.0625,32.0625,23.410000000000025,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.24425116350041962,0.0,0.0,42339.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.27,1.4772749510763212,0.0,65000.0,28.0,1.0,24.875,32.0625,23.910000000000025,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.24313725490196078,0.0,0.0,41569.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.33,1.4713307240704503,0.0,65000.0,28.0,1.0,25.75,32.0,24.410000000000025,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.24037537193865874,0.0,0.0,40972.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.38,1.4653864970645796,0.0,65000.0,28.0,1.0,26.8125,31.9375,25.350000000000023,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.23729304951552604,0.0,0.0,41639.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240.42,1.4581213307240706,0.0,65000.0,28.0,0.5008499999999964,28.0625,31.9375,26.150000000000034,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.24031433585107195,0.0,0.0,40885.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300.49,1.477274951076321,0.0,65000.0,28.0,0.43524999999999664,28.875,31.9375,26.850000000000023,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.23064011596856643,0.0,0.0,40455.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360.56,1.4700097847358122,0.0,65000.0,28.0,0.29904999999998977,29.4375,31.875,27.170000000000016,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.23306630045014115,0.0,0.0,41591.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420.64,1.474633072407045,0.0,65000.0,28.0,0.269449999999992,29.875,31.8125,27.55000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.23225757228961624,0.0,0.0,41206.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480.69,1.4726516634050884,0.0,65000.0,28.0,0.21434999999999377,30.0625,31.8125,27.850000000000023,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.23221179522392615,0.0,0.0,40957.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540.74,1.4680283757338555,0.0,65000.0,28.0,0.14794999999998565,30.125,31.875,28.130000000000052,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.23250171663996339,0.0,0.0,40824.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.81,1.4752935420743643,0.0,65000.0,28.0,0.14034999999999428,30.1875,31.9375,28.170000000000016,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.2289616235599298,0.0,0.0,41687.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
660.89,1.4759540117416834,0.0,65000.0,28.0,0.07674999999999102,30.0625,32.0,28.190000000000055,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.2311894407568475,0.0,0.0,40567.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720.93,1.4700097847358125,0.0,65000.0,28.0,0.06724999999998033,30.0,31.9375,28.250000000000057,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.2290074006256199,0.0,0.0,41188.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
781.0,1.4686888454011744,0.0,65000.0,28.0,0.07474999999998003,29.75,32.0,28.370000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.2276798657206073,0.0,0.0,41311.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
