exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,LED_395nm_setpoint,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
0.14,0.27435146041506536,0.0,65000.0,28.0,0.02614999999998445,25.6875,30.875,27.910000000000025,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,17606.0,0.017380438486879472,0.12007270248778826,0.0,301.0,1258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.23,0.26947732513451195,0.0,65000.0,28.0,0.0,25.6875,30.8125,28.130000000000052,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,16822.0,0.017239329449530376,0.11972417072880752,0.0,285.0,1220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.29,0.2686284588777863,0.0,65000.0,28.0,0.03924999999999244,25.75,30.8125,27.850000000000023,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,17162.0,0.017247407062113973,0.11939167929145787,0.0,293.0,1241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.37,0.25894408147578785,0.0,65000.0,28.0,0.07874999999998836,25.6875,30.8125,27.870000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,17270.0,0.017371163867979156,0.12009264620729589,0.0,293.0,1247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240.43,0.2636539200614912,0.0,65000.0,28.0,0.060849999999992126,25.6875,30.6875,27.870000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,17029.0,0.01708849609489694,0.11914968583005461,0.0,289.0,1231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300.49,0.25873414681014606,0.0,65000.0,28.0,0.12564999999997922,25.6875,30.75,27.79000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,17024.0,0.017210996240601503,0.11912593984962407,0.0,294.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360.54,0.270043235972329,0.0,65000.0,28.0,4.9999999978081466e-05,25.75,30.75,27.930000000000007,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,16902.0,0.01727606200449651,0.11968997751745356,0.0,289.0,1233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420.58,0.26973289777094545,0.0,65000.0,28.0,0.1201499999999868,25.75,30.875,27.910000000000025,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,17095.0,0.01737350102369114,0.11939163498098859,0.0,285.0,1231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480.62,0.26282330899308226,0.0,65000.0,28.0,0.05374999999997784,25.75,30.8125,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,16592.0,0.017297492767598843,0.11909353905496625,0.0,284.0,1223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540.69,0.26265901229823213,0.0,65000.0,28.0,0.07314999999998777,25.75,30.75,27.870000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,17132.0,0.01733597945365398,0.11960074713985525,0.0,285.0,1227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
